Date,Symbol,TimeStamp,QuoteCount,TradeCount,OpenPx,ClosePx,HighPx,LowPx
20130719,EUR/GBP,2013-07-19 09:42:00.000427365,109,2,0.8419000,0.8419000,0.8419000,0.8419000
20130719,6A,2013-07-19 09:43:00.000427290,275,14,1.0297000,1.0298000,1.0298000,1.0297000
20130719,FDAX,2013-07-19 09:43:00.000427290,331,10,7849.0000000,7849.0000000,7849.0000000,7848.0000000
20130719,LFZ,2013-07-19 09:43:00.000427290,191,14,6381.0000000,6381.5000000,6381.5000000,6380.5000000
20130719,EUR/GBP,2013-07-19 09:43:00.000427290,54,0,0.8419750,0.8419750,0.8419750,0.8419750
20130719,6A,2013-07-19 09:44:00.000276478,184,20,1.0297000,1.0299000,1.0299000,1.0297000
20130719,FDAX,2013-07-19 09:44:00.000276478,189,6,7848.5000000,7849.0000000,7849.5000000,7848.0000000
20130719,LFZ,2013-07-19 09:44:00.000276478,41,2,6381.5000000,6381.5000000,6381.5000000,6381.5000000
20130719,EUR/GBP,2013-07-19 09:44:00.000276478,73,0,0.8420250,0.8420250,0.8420250,0.8420250
20130719,6A,2013-07-19 09:45:00.000454839,225,11,1.0298000,1.0298000,1.0298000,1.0298000
20130719,FDAX,2013-07-19 09:45:00.000454839,608,40,7849.0000000,7846.5000000,7849.0000000,7846.0000000
20130719,LFZ,2013-07-19 09:45:00.000454839,236,21,6381.0000000,6380.5000000,6381.5000000,6380.0000000
20130719,EUR/GBP,2013-07-19 09:45:00.000454839,71,3,0.8420000,0.8420000,0.8420000,0.8420000
20130719,6A,2013-07-19 09:46:00.000541223,263,16,1.0298000,1.0298000,1.0298000,1.0298000
20130719,FDAX,2013-07-19 09:46:00.000541223,586,30,7847.5000000,7846.0000000,7848.5000000,7846.0000000
20130719,LFZ,2013-07-19 09:46:00.000541223,282,19,6381.0000000,6381.5000000,6382.5000000,6381.0000000
20130719,EUR/GBP,2013-07-19 09:46:00.000541223,39,3,0.8421000,0.8421000,0.8421000,0.8421000
20130719,6A,2013-07-19 09:47:00.000545737,373,32,1.0297000,1.0297000,1.0298000,1.0297000
20130719,FDAX,2013-07-19 09:47:00.000545737,325,14,7847.0000000,7845.5000000,7847.0000000,7845.5000000
20130719,LFZ,2013-07-19 09:47:00.000545737,104,13,6381.0000000,6380.5000000,6381.0000000,6380.5000000
20130719,EUR/GBP,2013-07-19 09:47:00.000545737,17,2,0.8420500,0.8420500,0.8420500,0.8420500
20130719,6A,2013-07-19 09:48:00.000080614,108,3,1.0297000,1.0297000,1.0297000,1.0296000
20130719,FDAX,2013-07-19 09:48:00.000080614,445,23,7845.5000000,7843.5000000,7846.0000000,7843.5000000
